name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Konrad Paul Kording,"Nathan Mossell University Professor (PIK), bioengineering and neuroscience, UPenn, CIFAR",Konrad Paul Kording,Konrad Paul Kording,Konrad Paul Kording,Konrad Paul Kording,Konrad Paul Kording,Konrad Paul Kording
Stefan Frässle,ETH Zurich,Stefan Frässle,Stefan Frässle,Stefan Frässle,Stefan Frässle,Stefan Frässle,Stefan Frässle
Olivia Carter,University of Melbourne,Olivia Carter,Olivia Carter,Olivia Carter,Olivia Carter,Olivia Carter,Olivia Carter
Frank Schumann,"School of Philosophy, Psychology and Language Sciences, University of Edinburgh",Frank Schumann,Frank Schumann,Frank Schumann,Frank Schumann,Frank Schumann,Frank Schumann
Andreas Jansen,Phillips-University Marburg,Andreas Jansen,Andreas Jansen,Andreas Jansen,Andreas Jansen,Andreas Jansen,Andreas Jansen
Antje Nuthmann,"University of Kiel, Germany",Antje Nuthmann,Antje Nuthmann,Antje Nuthmann,Antje Nuthmann,Antje Nuthmann,Antje Nuthmann
Christoph Kayser,"Cognitive Neuroscience, Bielefeld University",Christoph Kayser,Christoph Kayser,Christoph Kayser,Christoph Kayser,Christoph Kayser,Christoph Kayser
Kerstin Preuschoff,"Associate Professor, University of Geneva",Kerstin Preuschoff,Kerstin Preuschoff,Kerstin Preuschoff,Kerstin Preuschoff,Kerstin Preuschoff,Kerstin Preuschoff
Frank Bremmer,"Professor of Neurophysics, University of Marburg, Germany",Frank Bremmer,Frank Bremmer,Frank Bremmer,Frank Bremmer,Frank Bremmer,Frank Bremmer
Marilyne Andersen,"Full Professor, EPFL",Marilyne Andersen,Marilyne Andersen,Marilyne Andersen,Marilyne Andersen,Marilyne Andersen,Marilyne Andersen
mandana Sarey Khanie,Technical University of denmark,mandana Sarey Khanie,mandana Sarey Khanie,mandana Sarey Khanie,mandana Sarey Khanie,mandana Sarey Khanie,mandana Sarey Khanie
Saverio Salzo,"Researcher, Istituto Italiano di Tecnologia, Genova",Saverio Salzo,Saverio Salzo,Saverio Salzo,Saverio Salzo,Saverio Salzo,Saverio Salzo
Guillaume Garrigos,Université Paris-Diderot,Guillaume Garrigos,Guillaume Garrigos,Guillaume Garrigos,Guillaume Garrigos,Guillaume Garrigos,Guillaume Garrigos
Curzio Basso,CAMELOT Biomedical Systems Srl,Curzio Basso,Curzio Basso,Curzio Basso,Curzio Basso,Curzio Basso,Curzio Basso
Fioravante Patrone,ASD Scuderia La Bellaria,Fioravante Patrone,Fioravante Patrone,Fioravante Patrone,Fioravante Patrone,Fioravante Patrone,Fioravante Patrone
Vito Fragnelli,"Professor of Game Theory, University of Eastern Piedmont",Vito Fragnelli,Vito Fragnelli,Vito Fragnelli,Vito Fragnelli,Vito Fragnelli,Vito Fragnelli
Marco Beccuti,Univ. degli studi di Torino,Marco Beccuti,Marco Beccuti,Marco Beccuti,Marco Beccuti,Marco Beccuti,Marco Beccuti
Alberto Bemporad,"Professor of Control Systems, IMT Lucca, Italy",Alberto Bemporad,Alberto Bemporad,Alberto Bemporad,Alberto Bemporad,Alberto Bemporad,Alberto Bemporad
Panagiotis (Panos) Patrinos,"Associate Professor, KU Leuven",Panagiotis (Panos) Patrinos,Panagiotis (Panos) Patrinos,Panagiotis (Panos) Patrinos,Panagiotis (Panos) Patrinos,Panagiotis (Panos) Patrinos,Panagiotis (Panos) Patrinos
Andreas Themelis,Kyushu University,Andreas Themelis,Andreas Themelis,Andreas Themelis,Andreas Themelis,Andreas Themelis,Andreas Themelis
Jeroen J.A. van Boxtel,"Assistant Professor, University of Canberra",Jeroen J.A. van Boxtel,Jeroen J.A. van Boxtel,Jeroen J.A. van Boxtel,Jeroen J.A. van Boxtel,Jeroen J.A. van Boxtel,Jeroen J.A. van Boxtel
Ralph Adolphs,California Institute of Technology,Ralph Adolphs,Ralph Adolphs,Ralph Adolphs,Ralph Adolphs,Ralph Adolphs,Ralph Adolphs
Masafumi Oizumi,The University of Tokyo,Masafumi Oizumi,Masafumi Oizumi,Masafumi Oizumi,Masafumi Oizumi,Masafumi Oizumi,Masafumi Oizumi
Jakob Hohwy,"Cognition & Philosophy Lab, Centre for Consciousness and Contemplative Studies, Monash University",Jakob Hohwy,Jakob Hohwy,Jakob Hohwy,Jakob Hohwy,Jakob Hohwy,Jakob Hohwy
Hiroto Kawasaki,University of Iowa,Hiroto Kawasaki,Hiroto Kawasaki,Hiroto Kawasaki,Hiroto Kawasaki,Hiroto Kawasaki,Hiroto Kawasaki
Hiroyuki Oya,"Iowa Neuroscience Institute,",Hiroyuki Oya,Hiroyuki Oya,Hiroyuki Oya,Hiroyuki Oya,Hiroyuki Oya,Hiroyuki Oya
Melanie Wilke,University Medical School Goettingen/German Primate Center,Melanie Wilke,Melanie Wilke,Melanie Wilke,Melanie Wilke,Melanie Wilke,Melanie Wilke
Christopher K. Kovach,"Associate Research Scientist, University of Iowa",Christopher K. Kovach,Christopher K. Kovach,Christopher K. Kovach,Christopher K. Kovach,Christopher K. Kovach,Christopher K. Kovach
Hayato Saigo,Nagahama Institute of Bio-science and Technology,Hayato Saigo,Hayato Saigo,Hayato Saigo,Hayato Saigo,Hayato Saigo,Hayato Saigo
Andrew Haun,University of Wisconsin-Madison,Andrew Haun,Andrew Haun,Andrew Haun,Andrew Haun,Andrew Haun,Andrew Haun
Thomas Andrillon,Paris Brain Institute,Thomas Andrillon,Thomas Andrillon,Thomas Andrillon,Thomas Andrillon,Thomas Andrillon,Thomas Andrillon
Dror Cohen,Monash University,Dror Cohen,Dror Cohen,Dror Cohen,Dror Cohen,Dror Cohen,Dror Cohen
Matthew Davidson,"Postdoctoral research associate, Oxford University",Matthew Davidson,Matthew Davidson,Matthew Davidson,Matthew Davidson,Matthew Davidson,Matthew Davidson
Amari S*,Unknown affiliation,Amari S*,Amari S*,Amari S*,Amari S*,Amari S*,Amari S*
Ryota Kanai,Araya,Ryota Kanai,Ryota Kanai,Ryota Kanai,Ryota Kanai,Ryota Kanai,Ryota Kanai
Melanie Boly,"Department of Neurology and Department of Psychiatry, University of Wisconsin, Madison, USA",Melanie Boly,Melanie Boly,Melanie Boly,Melanie Boly,Melanie Boly,Melanie Boly
Noam Gordon,Monash University,Noam Gordon,Noam Gordon,Noam Gordon,Noam Gordon,Noam Gordon,Noam Gordon
Haiwei Dong,"Principal Researcher, Huawei Technologies Canada",Haiwei Dong,Haiwei Dong,Haiwei Dong,Haiwei Dong,Haiwei Dong,Haiwei Dong
Leonidas Anthopoulos,"Professor, Department of Business Administration, University of Thessaly, Greece",Leonidas Anthopoulos,Leonidas Anthopoulos,Leonidas Anthopoulos,Leonidas Anthopoulos,Leonidas Anthopoulos,Leonidas Anthopoulos
Manuel Mazzara,Director of Institute of Software Development and Engineering,Manuel Mazzara,Manuel Mazzara,Manuel Mazzara,Manuel Mazzara,Manuel Mazzara,Manuel Mazzara
Nadia Figueroa,"Assistant Professor, University of Pennsylvania",Nadia Figueroa,Nadia Figueroa,Nadia Figueroa,Nadia Figueroa,Nadia Figueroa,Nadia Figueroa
Kamill Gusmanov,"Student of Computer Science, Innopolis University",Kamill Gusmanov,Kamill Gusmanov,Kamill Gusmanov,Kamill Gusmanov,Kamill Gusmanov,Kamill Gusmanov
Chiraz BenAbdelkader,Assistant Professor of Computer Science,Chiraz BenAbdelkader,Chiraz BenAbdelkader,Chiraz BenAbdelkader,Chiraz BenAbdelkader,Chiraz BenAbdelkader,Chiraz BenAbdelkader
Thirimachos Bourlai,"University of Georgia, Multispectral Imagery Lab",Thirimachos Bourlai,Thirimachos Bourlai,Thirimachos Bourlai,Thirimachos Bourlai,Thirimachos Bourlai,Thirimachos Bourlai
Panagiotis (Panos) Toulis,"University of Chicago, Booth School",Panagiotis (Panos) Toulis,Panagiotis (Panos) Toulis,Panagiotis (Panos) Toulis,Panagiotis (Panos) Toulis,Panagiotis (Panos) Toulis,Panagiotis (Panos) Toulis
Alexandr Klimchik,"Robotics Institute, Innopolis University",Alexandr Klimchik,Alexandr Klimchik,Alexandr Klimchik,Alexandr Klimchik,Alexandr Klimchik,Alexandr Klimchik
Chandan Datta,"Doctoral student of Robotics, University of Auckland",Chandan Datta,Chandan Datta,Chandan Datta,Chandan Datta,Chandan Datta,Chandan Datta
Eirini Giannakidou,Aristotle University Thessaloniki,Eirini Giannakidou,Eirini Giannakidou,Eirini Giannakidou,Eirini Giannakidou,Eirini Giannakidou,Eirini Giannakidou
"Georgios Pierris, PhD","Quantitative Researcher/Developer, eTrading, ING Bank","Georgios Pierris, PhD","Georgios Pierris, PhD","Georgios Pierris, PhD","Georgios Pierris, PhD","Georgios Pierris, PhD","Georgios Pierris, PhD"
Sotiris Malassiotis,Center for Research and Technology Hellas,Sotiris Malassiotis,Sotiris Malassiotis,Sotiris Malassiotis,Sotiris Malassiotis,Sotiris Malassiotis,Sotiris Malassiotis
Michael G. Strintzis,Center for Research and Technology Hellas,Michael G. Strintzis,Michael G. Strintzis,Michael G. Strintzis,Michael G. Strintzis,Michael G. Strintzis,Michael G. Strintzis
Tamer Rabie,"Professor, Computer Engineering, College of Computing & Informatics, University of Sharjah",Tamer Rabie,Tamer Rabie,Tamer Rabie,Tamer Rabie,Tamer Rabie,Tamer Rabie
Geoffrey Meltzner,Systems and Technology Research,Geoffrey Meltzner,Geoffrey Meltzner,Geoffrey Meltzner,Geoffrey Meltzner,Geoffrey Meltzner,Geoffrey Meltzner
James Heaton,"Professor of Communication Sciences and Disorders, MGH Institute of Health Professions",James Heaton,James Heaton,James Heaton,James Heaton,James Heaton,James Heaton
Carlo J De Luca,"Boston University, NeuroMuscular Research Center",Carlo J De Luca,Carlo J De Luca,Carlo J De Luca,Carlo J De Luca,Carlo J De Luca,Carlo J De Luca
Eldar Sadikov,"Jetlore, Stanford University",Eldar Sadikov,Eldar Sadikov,Eldar Sadikov,Eldar Sadikov,Eldar Sadikov,Eldar Sadikov
Christopher Dromey,"Professor of Communication Disorders, Brigham Young University",Christopher Dromey,Christopher Dromey,Christopher Dromey,Christopher Dromey,Christopher Dromey,Christopher Dromey
G Kochanski,"Google, Inc.",G Kochanski,G Kochanski,G Kochanski,G Kochanski,G Kochanski,G Kochanski
Daniele D'Agostino,Università degli studi di Genova,Daniele D'Agostino,Daniele D'Agostino,Daniele D'Agostino,Daniele D'Agostino,Daniele D'Agostino,Daniele D'Agostino
Ivan Merelli,"Researcher in Bioinformatics, Institute for Biomedical Technologies",Ivan Merelli,Ivan Merelli,Ivan Merelli,Ivan Merelli,Ivan Merelli,Ivan Merelli
Carlo Maj,"Center for Human Genetics, University of Marburg",Carlo Maj,Carlo Maj,Carlo Maj,Carlo Maj,Carlo Maj,Carlo Maj
Ettore Mosca,CNR-ITB,Ettore Mosca,Ettore Mosca,Ettore Mosca,Ettore Mosca,Ettore Mosca,Ettore Mosca
Luciano Milanesi,Institute for Biomedical Technologies (ITB) National Research Council of Italy (CNR),Luciano Milanesi,Luciano Milanesi,Luciano Milanesi,Luciano Milanesi,Luciano Milanesi,Luciano Milanesi
Tanis Mar,"Senior Robotics Engineer, Dyson",Tanis Mar,Tanis Mar,Tanis Mar,Tanis Mar,Tanis Mar,Tanis Mar
Manuela Chessa,University of Genoa,Manuela Chessa,Manuela Chessa,Manuela Chessa,Manuela Chessa,Manuela Chessa,Manuela Chessa
Karen Simonyan,Co-Founder and Chief Scientist at Inflection AI,Karen Simonyan,Karen Simonyan,Karen Simonyan,Karen Simonyan,Karen Simonyan,Karen Simonyan
Andrea Vedaldi,University of Oxford,Andrea Vedaldi,Andrea Vedaldi,Andrea Vedaldi,Andrea Vedaldi,Andrea Vedaldi,Andrea Vedaldi
Josef Sivic,"Czech Technical University, CIIRC, ELLIS Unit Prague",Josef Sivic,Josef Sivic,Josef Sivic,Josef Sivic,Josef Sivic,Josef Sivic
Luc Van Gool,"professor computer vision ETH Zurich & KU Leuven,  Head Toyota Lab TRACE @ KUL & ETH",Luc Van Gool,Luc Van Gool,Luc Van Gool,Luc Van Gool,Luc Van Gool,Luc Van Gool
Philip Torr,"Professor, University of Oxford",Philip Torr,Philip Torr,Philip Torr,Philip Torr,Philip Torr,Philip Torr
Andrew Blake,"AI Consultant: Samsung, Five AI",Andrew Blake,Andrew Blake,Andrew Blake,Andrew Blake,Andrew Blake,Andrew Blake
Joon Son Chung,KAIST,Joon Son Chung,Joon Son Chung,Joon Son Chung,Joon Son Chung,Joon Son Chung,Joon Son Chung
Relja Arandjelović / Реља Аранђеловић,DeepMind,Relja Arandjelović / Реља Аранђеловић,Relja Arandjelović / Реља Аранђеловић,Relja Arandjelović / Реља Аранђеловић,Relja Arandjelović / Реља Аранђеловић,Relja Arandjelović / Реља Аранђеловић,Relja Arandjelović / Реља Аранђеловић
Richard Hartley,"Australian National University, National ICT Australia (NICTA)",Richard Hartley,Richard Hartley,Richard Hartley,Richard Hartley,Richard Hartley,Richard Hartley
João Carreira,DeepMind,João Carreira,João Carreira,João Carreira,João Carreira,João Carreira,João Carreira
Omkar M Parkhi,"Research Scientist, Facebook",Omkar M Parkhi,Omkar M Parkhi,Omkar M Parkhi,Omkar M Parkhi,Omkar M Parkhi,Omkar M Parkhi
Chris Williams,"Professor of Machine Learning, University of Edinburgh",Chris Williams,Chris Williams,Chris Williams,Chris Williams,Chris Williams,Chris Williams
Andrew Fitzgibbon,Microsoft,Andrew Fitzgibbon,Andrew Fitzgibbon,Andrew Fitzgibbon,Andrew Fitzgibbon,Andrew Fitzgibbon,Andrew Fitzgibbon
Cordelia Schmid,Research director INRIA ,Cordelia Schmid,Cordelia Schmid,Cordelia Schmid,Cordelia Schmid,Cordelia Schmid,Cordelia Schmid
Timor Kadir,Optellum and Oxford University,Timor Kadir,Timor Kadir,Timor Kadir,Timor Kadir,Timor Kadir,Timor Kadir
John Winn,"Principal Researcher, Machine Learning Group, Microsoft Research Cambridge",John Winn,John Winn,John Winn,John Winn,John Winn,John Winn
Frederik Schaffalitzky,University of Oxford,Frederik Schaffalitzky,Frederik Schaffalitzky,Frederik Schaffalitzky,Frederik Schaffalitzky,Frederik Schaffalitzky,Frederik Schaffalitzky
Victor Lempitsky,Yandex & Skolkovo Institute of Science and Technology,Victor Lempitsky,Victor Lempitsky,Victor Lempitsky,Victor Lempitsky,Victor Lempitsky,Victor Lempitsky
Justine T. Kao,"Cognitive Psychology, Stanford University",Justine T. Kao,Justine T. Kao,Justine T. Kao,Justine T. Kao,Justine T. Kao,Justine T. Kao
Daniel Lassiter,"Assistant professor, Stanford University",Daniel Lassiter,Daniel Lassiter,Daniel Lassiter,Daniel Lassiter,Daniel Lassiter,Daniel Lassiter
Daniel M. Roy,"University of Toronto, Dept of Statistical Sciences; Computer Science",Daniel M. Roy,Daniel M. Roy,Daniel M. Roy,Daniel M. Roy,Daniel M. Roy,Daniel M. Roy
Steven T. Piantadosi,"University of California, Berkeley",Steven T. Piantadosi,Steven T. Piantadosi,Steven T. Piantadosi,Steven T. Piantadosi,Steven T. Piantadosi,Steven T. Piantadosi
Patrick Hanrahan,Stanford University,Patrick Hanrahan,Patrick Hanrahan,Patrick Hanrahan,Patrick Hanrahan,Patrick Hanrahan,Patrick Hanrahan
David Lagnado,University College London,David Lagnado,David Lagnado,David Lagnado,David Lagnado,David Lagnado,David Lagnado
Daniel Ritchie,Brown University,Daniel Ritchie,Daniel Ritchie,Daniel Ritchie,Daniel Ritchie,Daniel Ritchie,Daniel Ritchie
Timothy John O'Donnell,"McGill University, Mila",Timothy John O'Donnell,Timothy John O'Donnell,Timothy John O'Donnell,Timothy John O'Donnell,Timothy John O'Donnell,Timothy John O'Donnell
Catherine Wah,Google,Catherine Wah,Catherine Wah,Catherine Wah,Catherine Wah,Catherine Wah,Catherine Wah
Florian Schroff,Google Inc.,Florian Schroff,Florian Schroff,Florian Schroff,Florian Schroff,Florian Schroff,Florian Schroff
Boris Babenko,Google,Boris Babenko,Boris Babenko,Boris Babenko,Boris Babenko,Boris Babenko,Boris Babenko
Andreas Argyriou,Microsoft UK,Andreas Argyriou,Andreas Argyriou,Andreas Argyriou,Andreas Argyriou,Andreas Argyriou,Andreas Argyriou
Paolo Frasconi,"Professor of Computer Science, Università di Firenze",Paolo Frasconi,Paolo Frasconi,Paolo Frasconi,Paolo Frasconi,Paolo Frasconi,Paolo Frasconi
Michele Donini,Amazon,Michele Donini,Michele Donini,Michele Donini,Michele Donini,Michele Donini,Michele Donini
Bernardino Romera-Paredes,Google DeepMind,Bernardino Romera-Paredes,Bernardino Romera-Paredes,Bernardino Romera-Paredes,Bernardino Romera-Paredes,Bernardino Romera-Paredes,Bernardino Romera-Paredes
Luca Franceschi,University College London,Luca Franceschi,Luca Franceschi,Luca Franceschi,Luca Franceschi,Luca Franceschi,Luca Franceschi
Luca Oneto,DIBRIS - University of Genoa,Luca Oneto,Luca Oneto,Luca Oneto,Luca Oneto,Luca Oneto,Luca Oneto
Andre Elisseeff,Google,Andre Elisseeff,Andre Elisseeff,Andre Elisseeff,Andre Elisseeff,Andre Elisseeff,Andre Elisseeff
Arthur Gretton,"Gatsby Computational Neuroscience Unit, UCL",Arthur Gretton,Arthur Gretton,Arthur Gretton,Arthur Gretton,Arthur Gretton,Arthur Gretton
Cecilia Mascolo,University of Cambridge,Cecilia Mascolo,Cecilia Mascolo,Cecilia Mascolo,Cecilia Mascolo,Cecilia Mascolo,Cecilia Mascolo
Anastasios Noulas,"New York University, Center for Data Science, Moore-Sloan Fellow",Anastasios Noulas,Anastasios Noulas,Anastasios Noulas,Anastasios Noulas,Anastasios Noulas,Anastasios Noulas
Yiming Ying,"Professor, Department of Mathematics and Statistics, University at Albany, SUNY",Yiming Ying,Yiming Ying,Yiming Ying,Yiming Ying,Yiming Ying,Yiming Ying
Riccardo Grazzi,"IIT, UCL",Riccardo Grazzi,Riccardo Grazzi,Riccardo Grazzi,Riccardo Grazzi,Riccardo Grazzi,Riccardo Grazzi
Marcello Rosa,"Department of Physiology and Biomedicine Discovery Institute, Monash University",Marcello Rosa,Marcello Rosa,Marcello Rosa,Marcello Rosa,Marcello Rosa,Marcello Rosa
Bruss Lima,UFRJ,Bruss Lima,Bruss Lima,Bruss Lima,Bruss Lima,Bruss Lima,Bruss Lima
Eliã Botelho,Professor de Doenças Transmissíveis,Eliã Botelho,Eliã Botelho,Eliã Botelho,Eliã Botelho,Eliã Botelho,Eliã Botelho
Jorge Moll,"D'Or Institute for Research and Education (IDOR), Rio de Janeiro, Brazil & Stanford University",Jorge Moll,Jorge Moll,Jorge Moll,Jorge Moll,Jorge Moll,Jorge Moll
Tristan Chaplin,"Postdoctoral Fellow, Sainsbury Wellcome Centre, UCL",Tristan Chaplin,Tristan Chaplin,Tristan Chaplin,Tristan Chaplin,Tristan Chaplin,Tristan Chaplin
Luiz Pessoa,"Department of Psychology and Maryland Neuroimaging Center, University of Maryland, College Park",Luiz Pessoa,Luiz Pessoa,Luiz Pessoa,Luiz Pessoa,Luiz Pessoa,Luiz Pessoa
Julie H Sandell,"Provost, Suffolk University",Julie H Sandell,Julie H Sandell,Julie H Sandell,Julie H Sandell,Julie H Sandell,Julie H Sandell
Sergio Neuenschwander,"Brain Institute, Federal University of Rio Grande do Norte",Sergio Neuenschwander,Sergio Neuenschwander,Sergio Neuenschwander,Sergio Neuenschwander,Sergio Neuenschwander,Sergio Neuenschwander
Ellen Covey,University of Washington,Ellen Covey,Ellen Covey,Ellen Covey,Ellen Covey,Ellen Covey,Ellen Covey
John Morrison,"California National Primate Research Center, UC Davis",John Morrison,John Morrison,John Morrison,John Morrison,John Morrison,John Morrison
Janaina Mourao-Miranda,University College London,Janaina Mourao-Miranda,Janaina Mourao-Miranda,Janaina Mourao-Miranda,Janaina Mourao-Miranda,Janaina Mourao-Miranda,Janaina Mourao-Miranda
Dora Fix Ventura,"Full Professor at Instituto de Psicologia, Universidade de São Paulo",Dora Fix Ventura,Dora Fix Ventura,Dora Fix Ventura,Dora Fix Ventura,Dora Fix Ventura,Dora Fix Ventura
Jon H. Kaas,Distinguished Professor of Psychology Vanderbilt University,Jon H. Kaas,Jon H. Kaas,Jon H. Kaas,Jon H. Kaas,Jon H. Kaas,Jon H. Kaas
Quoc V. Le,"Research Scientist, Google Brain",Quoc V. Le,Quoc V. Le,Quoc V. Le,Quoc V. Le,Quoc V. Le,Quoc V. Le
Golnaz Ghiasi,Google Brain,Golnaz Ghiasi,Golnaz Ghiasi,Golnaz Ghiasi,Golnaz Ghiasi,Golnaz Ghiasi,Golnaz Ghiasi
Yin Cui,"Research Scientist, Google",Yin Cui,Yin Cui,Yin Cui,Yin Cui,Yin Cui,Yin Cui
Pedro O. Pinheiro,Deep Genomics,Pedro O. Pinheiro,Pedro O. Pinheiro,Pedro O. Pinheiro,Pedro O. Pinheiro,Pedro O. Pinheiro,Pedro O. Pinheiro
Bolei Zhou,Assistant Professor at UCLA,Bolei Zhou,Bolei Zhou,Bolei Zhou,Bolei Zhou,Bolei Zhou,Bolei Zhou
Aditya Khosla,"Co-founder and CTO, PathAI",Aditya Khosla,Aditya Khosla,Aditya Khosla,Aditya Khosla,Aditya Khosla,Aditya Khosla
Sanja Fidler,"University of Toronto, NVIDIA",Sanja Fidler,Sanja Fidler,Sanja Fidler,Sanja Fidler,Sanja Fidler,Sanja Fidler
Jianxiong Xiao,"AutoX, Inc.",Jianxiong Xiao,Jianxiong Xiao,Jianxiong Xiao,Jianxiong Xiao,Jianxiong Xiao,Jianxiong Xiao
Àgata Lapedriza,Universitat Oberta de Catalunya,Àgata Lapedriza,Àgata Lapedriza,Àgata Lapedriza,Àgata Lapedriza,Àgata Lapedriza,Àgata Lapedriza
